lat,lon,datetime
51.9229841,4.4702863,2019-08-28 17:09:38
51.9229456,4.4702685,2019-08-28 17:10:15
51.9228043,4.4710921,2019-08-28 17:10:34
51.9243843,4.4710927,2019-08-28 17:11:02
51.9227724,4.4710841,2019-08-28 17:11:24
51.9218848,4.4712794,2019-08-28 17:11:40
51.9217803,4.4713619,2019-08-28 17:11:56
51.9216448,4.4714513,2019-08-28 17:12:11
51.921502,4.4714732,2019-08-28 17:12:26
51.9213391,4.4716223,2019-08-28 17:12:42
51.9206954,4.471578,2019-08-28 17:13:41
51.9208289,4.4720481,2019-08-28 17:14:11
51.9202811,4.4722168,2019-08-28 17:14:35
51.9201423,4.4722167,2019-08-28 17:14:51
51.919989,4.4722114,2019-08-28 17:15:06
51.919722,4.4722022,2019-08-28 17:15:26
51.9194718,4.4721528,2019-08-28 17:15:45
51.9173493,4.4732059,2019-08-28 17:16:02
51.9190233,4.4720464,2019-08-28 17:16:20
51.9187814,4.4719163,2019-08-28 17:16:41
51.9185741,4.4720815,2019-08-28 17:17:00
51.9184443,4.4721426,2019-08-28 17:17:15
51.9170048,4.4735562,2019-08-28 17:17:58
51.9183247,4.4726154,2019-08-28 17:18:02
51.9180048,4.4725283,2019-08-28 17:18:19
51.9177883,4.4727322,2019-08-28 17:18:37
51.9176658,4.4728212,2019-08-28 17:18:52
51.9174802,4.472847,2019-08-28 17:19:12
51.9174769,4.4728317,2019-08-28 17:19:31
51.9170048,4.4735562,2019-08-28 17:19:55
51.9163226,4.4743783,2019-08-28 17:21:45
51.916737,4.4718899,2019-08-28 17:21:56
51.9163495,4.4732458,2019-08-28 17:24:01
51.9151602,4.4758085,2019-08-28 17:26:10
51.9169099,4.4780895,2019-08-28 17:27:03
51.9158574,4.4778863,2019-08-28 17:28:18
51.9164953,4.4805266,2019-08-28 17:30:33
51.9149911,4.4829708,2019-08-28 17:32:09
51.915443,4.4817652,2019-08-28 17:32:48
51.9134858,4.4820251,2019-08-28 17:34:56
51.9121456,4.481631,2019-08-28 17:36:58
51.9110877,4.4811232,2019-08-28 17:37:10
51.9110416,4.4823331,2019-08-28 17:39:13
51.9122092,4.4814807,2019-08-28 17:41:22
51.9110877,4.4811232,2019-08-28 17:41:25
51.911867,4.4813592,2019-08-28 17:43:32
51.9117875,4.481161,2019-08-28 17:45:41
51.9106357,4.4842964,2019-08-28 17:46:38
51.909067,4.4820143,2019-08-28 17:47:56
51.9102913,4.4846466,2019-08-28 17:50:42
51.9114014,4.4815796,2019-08-28 17:52:08
51.9108727,4.4867695,2019-08-28 17:53:12
51.9072026,4.4897499,2019-08-28 17:55:25
51.9043504,4.4846165,2019-08-28 17:57:26
51.9078647,4.4875007,2019-08-28 17:57:45
51.903837,4.4855391,2019-08-28 17:59:21
51.9035265,4.485057,2019-08-28 18:01:30
51.9053765,4.4919675,2019-08-28 18:02:11
51.9020699,4.4850408,2019-08-28 18:03:35
51.9020022,4.4853316,2019-08-28 18:05:44
51.9047338,4.4914578,2019-08-28 18:07:47
51.9021099,4.4857708,2019-08-28 18:08:00
51.9022502,4.4851336,2019-08-28 18:10:09
51.9022127,4.4851471,2019-08-28 18:12:18
51.9075509,4.4870442,2019-08-28 18:13:02
51.9022127,4.4851471,2019-08-28 18:14:27
51.9022127,4.4851471,2019-08-28 18:16:57
51.9075509,4.4870442,2019-08-28 18:18:05
51.9021917,4.4850867,2019-08-28 18:19:28
51.9022127,4.4851471,2019-08-28 18:21:47
51.9075509,4.4870442,2019-08-28 18:23:38
51.9027733,4.4856062,2019-08-28 18:25:00
51.9020361,4.4849858,2019-08-28 18:27:16
51.9047338,4.4914578,2019-08-28 18:29:01
51.901929,4.4850152,2019-08-28 18:29:25
51.901255,4.4847845,2019-08-28 18:31:40
51.9013597,4.484838,2019-08-28 18:33:48
51.9047338,4.4914578,2019-08-28 18:34:11
51.9018027,4.4849652,2019-08-28 18:35:48
51.9024948,4.4851973,2019-08-28 18:37:52
51.9047338,4.4914578,2019-08-28 18:38:03
51.9020596,4.4850123,2019-08-28 18:40:07
51.9020574,4.4849888,2019-08-28 18:42:16
51.9047338,4.4914578,2019-08-28 18:43:04
51.9020561,4.4850035,2019-08-28 18:44:32
51.9022017,4.4850662,2019-08-28 18:46:34
51.9052473,4.4866719,2019-08-28 18:48:04
51.902993,4.485211,2019-08-28 18:48:49
51.9033704,4.4860017,2019-08-28 18:50:58
51.9053765,4.4919675,2019-08-28 18:53:04
51.9022127,4.4851471,2019-08-28 18:53:13
51.9038232,4.4861513,2019-08-28 18:55:22
51.9038232,4.4861513,2019-08-28 18:57:59
51.9053765,4.4919675,2019-08-28 18:58:05
51.9038232,4.4861513,2019-08-28 18:59:59
51.9038232,4.4861513,2019-08-28 19:02:01
51.9053765,4.4919675,2019-08-28 19:03:05
51.9037887,4.4852647,2019-08-28 19:03:08
51.9037887,4.4852647,2019-08-28 19:05:56
51.9037887,4.4852647,2019-08-28 19:08:16
51.8971896,4.4809084,2019-08-28 19:08:24
51.9037887,4.4852647,2019-08-28 19:10:46
51.902116,4.4849566,2019-08-28 19:13:24
51.9047338,4.4914578,2019-08-28 19:13:33
51.9020935,4.4848919,2019-08-28 19:15:39
51.9019221,4.4850142,2019-08-28 19:17:48
51.9047338,4.4914578,2019-08-28 19:18:33
51.9018892,4.4850369,2019-08-28 19:20:03
51.9020885,4.485073,2019-08-28 19:22:08
51.9075509,4.4870442,2019-08-28 19:24:03
51.903082,4.4847661,2019-08-28 19:24:15
51.9034247,4.4847659,2019-08-28 19:26:24
51.9075509,4.4870442,2019-08-28 19:27:17
51.9036589,4.484605,2019-08-28 19:28:39
51.9023785,4.4852718,2019-08-28 19:30:44
51.9047338,4.4914578,2019-08-28 19:32:17
51.9022127,4.4851471,2019-08-28 19:32:59
51.9026518,4.4852908,2019-08-28 19:35:08
51.9047338,4.4914578,2019-08-28 19:37:19
51.9024723,4.485361,2019-08-28 19:37:23
51.902305,4.485354,2019-08-28 19:39:31
51.9047338,4.4914578,2019-08-28 19:41:26
51.9022127,4.4851471,2019-08-28 19:41:32
51.9047338,4.4914578,2019-08-28 19:42:20
51.9022127,4.4851471,2019-08-28 19:43:32
51.9021917,4.4850867,2019-08-28 19:45:41
51.9047338,4.4914578,2019-08-28 19:47:21
51.9021917,4.4850867,2019-08-28 19:47:46
51.9022127,4.4851471,2019-08-28 19:49:55
51.9024536,4.4853778,2019-08-28 19:52:10
51.9047338,4.4914578,2019-08-28 19:52:22
51.9022127,4.4851471,2019-08-28 19:54:18
51.9020847,4.484858,2019-08-28 19:56:19
51.9085536,4.4868005,2019-08-28 19:57:37
51.9020125,4.4852978,2019-08-28 19:58:19
51.9028091,4.4856941,2019-08-28 20:00:34
51.9047338,4.4914578,2019-08-28 20:02:38
51.903855,4.4855789,2019-08-28 20:02:42
